Address,Area,Bedroom,Code,DateExpiration,DateUpLoad,Furniture,Legal,Name,Price,Toilet
Quận 7,128 m²,3 phòng,38285881,01/12/2023,24/11/2023,Full,,"Cho thuê căn hộ Quận 7, view Bitexco",16 triệu/tháng,2 phòng
Quận 2,44 m²,1 phòng,37553900,04/12/2023,27/11/2023,Đầy đủ,Sổ đỏ/ Sổ hồng,"400 căn 1PN 9tr - có nội thất 10,5tr, 2PN 11tr có nội thất 11,5tr, 3PN 12,5tr có nội thất 14tr",9 triệu/tháng,1 phòng
Quận 2,51 m²,1 phòng,38096467,01/12/2023,24/11/2023,Cơ bản,Sổ đỏ/ Sổ hồng,"333 căn - hàng đẹp giá tốt 1PN 9tr full NT 10,5tr, 2PN full NT 11-12tr, 3PN 12tr full NT 13-14tr",9 triệu/tháng,1 phòng
Tân Bình,77 m²,2 phòng,38387616,02/12/2023,25/11/2023,Đầy đủ,,"Cho thuê CH Cộng Hòa Garden, Tân Bình, 2PN, 77m2, full nội thất, giá tốt 14tr/th. LH ",14 triệu/tháng,2 phòng
Quận 2,75 m²,2 phòng,38639506,05/12/2023,25/11/2023,,,Chủ cho thuê nhanh Lumiere Riverside giá tốt căn 1PN 17tr - 2PN 22tr sẵn sàng xem nhà ngay,22 triệu/tháng,2 phòng
Tân Phú,69 m²,2 phòng,38527115,28/11/2023,21/11/2023,Đầy đủ,Sổ đỏ/ Sổ hồng,"Chuyên cho thuê căn hộ tại dự án Celadon City Q. Tân phú, từ 1PN, 2PN, 3PN, chỉ 10tr/tháng, ở ngay",11 triệu/tháng,2 phòng
Tân Bình,87 m²,2 phòng,38604111,28/11/2023,21/11/2023,,,Cho thuê căn hộ cao cấp 2 phòng ngủ Ruby Garden lầu 8 - block D,10 triệu/tháng,2 phòng
Quận 2,55 m²,1 phòng,33889336,28/11/2023,21/11/2023,Có nội thất,,Rổ hàng Precia đang cần cho thuê 1pn 9tr/ 2pn 11tr/ 3PN 13tr/ full nội thất hoặc NTCB ,9 triệu/tháng,1 phòng
Quận 7,40 m²,1 phòng,38073156,01/12/2023,24/11/2023,Đầy đủ,,Cho thuê Sunrise City View Officetel giá tốt chỉ từ 10tr dọn vào ngay,10 triệu/tháng,1 phòng
Quận 7,68 m²,2 phòng,38604260,28/11/2023,21/11/2023,Cơ bản.,,Chính chủ cho thuê Eco Green 2PN 2WC 13tr,13 triệu/tháng,2 phòng
Quận 7,115 m²,3 phòng,38540048,28/11/2023,21/11/2023,Đầy đủ,Sổ đỏ/ Sổ hồng,Cho thuê căn hộ Dockland 115m2 3Pn 2Vs giá chỉ 17tr ở liền được,17 triệu/tháng,2 phòng
Quận 1,18 m²,,38605205,06/12/2023,21/11/2023,,,"Căn hộ dịch vụ full nội thất ngay trung tâm Quận 1, chỉ cần xách vali vào ở",7 triệu/tháng,
Quận 4,60 m²,,38605237,01/12/2023,21/11/2023,Có nội thất,,Giỏ hàng cho thuê căn hộ De La Sol Quận 4. Đa dạng diện tích. Giá thuê tốt nhất từ 12 triệu/tháng,14 triệu/tháng,
Quận 3,40 m²,1 phòng,38606080,28/11/2023,21/11/2023,Không nội thất,,"Chính chủ cho thuê nhà thích hợp KD văn phòng, spa, làm đẹp,.. Ngay trung tâm Quận 3",12 triệu/tháng,1 phòng
Quận 2,70 m²,2 phòng,38541407,29/11/2023,22/11/2023,,,Giỏ hàng chủ nhà cho thuê giá rẻ (1pn giá 22tr) -(2pn giá 29tr) -(3pn giá 35tr) ,27 triệu/tháng,2 phòng
Quận 2,83 m²,2 phòng,37878814,01/12/2023,21/11/2023,,,Tổng hợp giỏ hàng cho thuê Metropole toà Crest và Galleria từ full nội thất đến NTCB mới nhất T11,30 triệu/tháng,
Quận 7,52 m²,1 phòng,35092881,01/12/2023,24/11/2023,NTCB.,,"Chủ cho thuê nhiều CH Q7 Riverside 1PN từ 7tr/th, 2PN từ 8tr/th deal giá sát ",7 triệu/tháng,1 phòng
Quận 7,85 m²,3 phòng,38463588,01/12/2023,24/11/2023,Cơ bản.,Hợp đồng mua bán.,Căn góc 85m2 3pn 2wc full rèm + máy lạnh nhà đẹp view thoáng,14 triệu/tháng,2 phòng
Phú Nhuận,30 m²,1 phòng,38613813,02/12/2023,22/11/2023,Không nội thất.,,Cho thuê căn hộ chung cư quân đội - đường Hồ Biểu Chánh - quận Phú Nhuận - TP. HCM,5 triệu/tháng,1 phòng
Nhà Bè,62 m²,2 phòng,36330427,01/12/2023,24/11/2023,,,Cho thuê The Park Residence giá rẻ nhất ,"7,5 triệu/tháng",1 phòng
Quận 7,50 m²,1 phòng,37858586,05/12/2023,25/11/2023,,,"Cho thuê CC Belleza 1pn giá 6tr, 2pn giá 6.5tr đến 9tr, 3pn 2wc giá 10 đến 12tr. LH: ",6 triệu/tháng,1 phòng
Quận 1,45 m²,1 phòng,38056340,05/12/2023,25/11/2023,Đầy đủ,Hợp đồng mua bán,Quỹ căn căn hộ The MarQ Quận 1 mới nhất cần cho thuê ngay LH: ,31 triệu/tháng,1 phòng
Nhà Bè,100 m²,3 phòng,38625788,30/11/2023,23/11/2023,,,Thật 100% cho thuê nhanh Sunrise Riverside 2PN 2WC mới làm nội thất - nhà sạch đẹp,16 triệu/tháng,2 phòng
Quận 9,37 m²,3 phòng,36685362,01/12/2023,16/11/2023,Full nội thất cao cấp.,Sổ đỏ/ Sổ hồng.,Giá sốc Phú Hoà full hàng 60.000 căn giá tốt nhất thị trường Vinhomes Grand Park Q9,4 triệu/tháng,2 phòng
Quận 9,70 m²,2 phòng,38612882,29/11/2023,22/11/2023,Đầy đủ,,Cho thuê căn 2 PN + full nội thất view đẹp thoáng,9 triệu/tháng,2 phòng
Quận 10,86 m²,2 phòng,38427406,04/12/2023,27/11/2023,NTCB,Hợp đồng mua bán,"Chuyên cho thuê căn hộ Hà Đô Centrosa t11/2023 (giá 1PN-16tr, 2PN-19tr, 2PN+1-23tr) LH PKD Nga",18 triệu/tháng,2 phòng
Quận 7,150 m²,3 phòng,38624088,30/11/2023,23/11/2023,Đầy đủ.,Hợp đồng mua bán.,"Chuyên cho thuê Star Hill, 1,2,3PN, Office, ngắn hạn, dài hạn full nội thất. Bao giá tốt",35 triệu/tháng,3 phòng
Quận 2,61 m²,2 phòng,38606045,01/12/2023,21/11/2023,Đầy đủ,,SGD chuyên cho thuê New City 1 - 2 - 3PN giá tốt nhất thị trường. LH: Ms Nguyên ,14 triệu/tháng,2 phòng
Quận 4,80 m²,2 phòng,33470192,03/12/2023,26/11/2023,,,"Chuyên cho thuê dự án C/C The Gold View Quận 4, nội thất đẹp, giá rẻ",16 triệu/tháng,2 phòng
Quận 2,64 m²,2 phòng,37081345,04/12/2023,27/11/2023,,,"Cho thuê căn hộ Centana Q2 - 1PN 44m2 giá 8tr/th, 2PN 64m2 giá 10tr/th, 3PN - 100m2 giá 13tr/th",12 triệu/tháng,2 phòng
Quận 2,75 m²,2 phòng,38604371,28/11/2023,21/11/2023,Đầy đủ,,Quản lý nhiều căn hộ Masteri Thảo Điền giá tốt chỉ từ 14tr/ tháng - giỏ hàng update liên tục 24/24,14 triệu/tháng,2 phòng
Bình Thạnh,88 m²,2 phòng,35887934,02/12/2023,17/11/2023,Cơ bản,Sổ đỏ/ Sổ hồng,Chuyên cho thuê 1 - 2 - 3 - 4PN Vinhomes Central Park và Landmark 81 giá tốt nhất. LH: ,"18,5 triệu/tháng",2 phòng
Bình Thạnh,88 m²,2 phòng,36851073,09/12/2023,24/11/2023,"Nội thất cao cấp, mới 100%.",,Cần cho thuê căn hộ Vinhomes Central Park 2PN 88m2 nội thất sang trọng view thoáng mát giá tốt,19 triệu/tháng,2 phòng
Quận 4,70 m²,2 phòng,37792378,03/12/2023,26/11/2023,Đầy đủ,Đang chờ sổ,Chuyên cho thuê Tresor (giá thật 100%): Studio từ 12tr - 2PN từ 17tr - 3PN từ 26tr - LH: ,18 triệu/tháng,2 phòng
Quận 10,85 m²,2 phòng,38321672,07/12/2023,27/11/2023,Đầy đủ,,Căn hộ 2PN (85m2) - cần cho thuê đầy đủ nội thất giá 25 triệu/tháng,25 triệu/tháng,2 phòng
